OrderID,OrderDate,CustomerName,Region,Product,Quantity,UnitPrice,Revenue,Cost,Profit
1,2025-03-13,Customer_95,North,Phone,1,30024,30024,18718,11306
2,2025-02-17,Customer_28,South,Phone,19,39651,753369,421536,331833
3,2025-12-26,Customer_70,West,Laptop,18,58031,1044558,798884,245674
4,2025-01-04,Customer_98,South,Monitor,15,17115,256725,203539,53186
5,2026-05-06,Customer_98,East,Headphones,11,3276,36036,21500,14536
6,2026-03-10,Customer_45,East,Phone,3,36898,110694,64093,46601
7,2026-04-18,Customer_49,North,Laptop,15,80142,1202130,706188,495942
8,2025-12-27,Customer_9,North,Keyboard,20,1981,39620,28653,10967
9,2026-03-20,Customer_13,West,Monitor,10,10614,106140,85612,20528
10,2025-07-01,Customer_27,East,Keyboard,15,1994,29910,17909,12001
11,2025-05-06,Customer_21,West,Phone,20,23215,464300,329765,134535
12,2025-04-23,Customer_88,East,Headphones,9,6242,56178,42495,13683
13,2025-07-25,Customer_35,North,Laptop,8,47103,376824,298261,78563
14,2025-09-13,Customer_51,West,Monitor,19,18311,347909,213542,134367
15,2025-10-15,Customer_69,East,Tablet,9,14575,131175,81851,49324
16,2025-03-12,Customer_66,West,Headphones,19,4271,81149,53444,27705
17,2025-03-23,Customer_88,West,Phone,2,19185,38370,22862,15508
18,2025-08-28,Customer_68,East,Phone,13,37009,481117,350621,130496
19,2026-01-29,Customer_83,East,Laptop,4,80190,320760,248673,72087
20,2025-01-02,Customer_93,East,Phone,10,40492,404920,241918,163002
21,2025-06-02,Customer_82,South,Tablet,17,13486,229262,185967,43295
22,2026-02-03,Customer_68,North,Tablet,12,15293,183516,130629,52887
23,2025-07-05,Customer_40,South,Mouse,16,339,5424,3165,2259
24,2025-02-13,Customer_94,West,Laptop,8,82182,657456,548374,109082
25,2025-09-01,Customer_71,South,Phone,18,20241,364338,214419,149919
26,2025-04-19,Customer_70,South,Keyboard,17,2984,50728,34339,16389
27,2025-09-22,Customer_58,North,Keyboard,13,2029,26377,17974,8403
28,2025-10-29,Customer_71,South,Monitor,8,10098,80784,52624,28160
29,2025-01-31,Customer_30,North,Monitor,1,10326,10326,7872,2454
30,2025-05-23,Customer_86,West,Laptop,11,49643,546073,384570,161503
31,2026-03-28,Customer_74,West,Monitor,18,12335,222030,170298,51732
32,2025-02-19,Customer_85,West,Monitor,16,21338,341408,207276,134132
33,2026-01-09,Customer_7,North,Mouse,14,1141,15974,11023,4951
34,2025-02-25,Customer_32,South,Laptop,13,67236,874068,690669,183399
35,2025-04-04,Customer_36,West,Monitor,18,22700,408600,241913,166687
36,2026-03-15,Customer_71,North,Monitor,3,22520,67560,53534,14026
37,2026-04-20,Customer_97,South,Laptop,18,45967,827406,695599,131807
38,2026-03-19,Customer_52,North,Tablet,14,25913,362782,251918,110864
39,2025-05-16,Customer_59,East,Tablet,13,10070,130910,110696,20214
40,2025-03-21,Customer_25,East,Headphones,18,6422,115596,88491,27105
41,2025-01-30,Customer_7,West,Monitor,2,9997,19994,15483,4511
42,2025-04-06,Customer_9,North,Tablet,2,26640,53280,30584,22696
43,2025-10-19,Customer_32,North,Monitor,13,11928,155064,129087,25977
